N,P,K,temperature,humidity,ph,rainfall,label
73.47,44.71,15.28,21.48,52.88,5.96,94.51,maize
87.86,50.16,17.58,22.39,64.98,6.12,103.79,maize
88.77,46.12,20.07,22.97,54.79,6.46,76.48,maize
69.98,45.74,24.49,23.94,62.14,6.76,102.49,maize
89.25,47.87,18.38,24.07,66.97,6.89,92.94,maize
90.5,44.15,23.29,22.94,75.38,6.29,106.7,maize
81.98,43.43,18.79,21.78,67.12,6.75,77.83,maize
79.76,60.89,24.32,23.48,65.19,6.6,92.67,maize
69.77,45.89,15.83,23.4,68.24,6.37,104.67,maize
67.74,38.35,20.56,24.86,73.42,6.38,98.48,maize
79.61,46.42,22.21,23.97,57.12,7.1,102.25,maize
73.74,49.97,21.24,23.09,62.25,6.3,84.68,maize
91.73,50.9,19.07,24.24,50.76,6.98,63.25,maize
76.38,40.5,16.76,25.11,62.66,6.68,84.41,maize
84.77,47.98,16.79,24.74,62.53,5.97,79.65,maize
95.01,52.81,19.13,21.71,63.39,7.33,89.77,maize
84.3,53.94,20.6,21.92,64.02,6.52,84.53,maize
87.28,47.82,21.83,22.32,65.39,5.8,96.45,maize
83.46,53.74,12.76,27.2,64.3,6.97,72.0,maize
86.13,40.92,18.44,26.81,64.05,6.63,95.88,maize
84.96,48.44,20.91,27.91,64.71,6.63,98.13,maize
91.06,54.92,21.6,19.93,73.17,6.12,88.78,maize
72.46,47.1,20.82,23.22,67.11,7.16,90.67,maize
77.56,53.53,22.97,19.74,67.99,6.81,81.28,maize
93.76,46.56,20.31,22.11,65.08,6.14,67.0,maize
95.95,42.21,17.52,17.65,61.81,6.05,105.53,maize
90.1,43.2,25.63,24.71,63.38,5.61,113.64,maize
66.1,37.22,22.56,27.99,71.92,6.76,92.43,maize
88.53,52.24,20.7,22.73,64.69,6.27,81.49,maize
63.07,46.89,17.53,20.02,65.9,7.07,96.48,maize
64.29,41.31,22.35,20.29,63.88,6.76,72.9,maize
81.05,39.16,18.5,23.22,57.04,6.72,84.75,maize
85.52,48.9,23.41,22.78,62.85,6.6,91.79,maize
80.49,47.75,18.25,21.01,57.99,7.21,69.45,maize
73.07,43.01,22.24,21.84,71.24,6.3,88.49,maize
71.65,60.91,17.03,23.2,68.17,6.71,82.68,maize
78.7,47.77,19.63,24.67,76.05,6.34,67.88,maize
79.12,63.62,17.99,26.19,73.39,6.34,92.11,maize
96.28,45.13,19.49,21.19,59.93,6.31,69.7,maize
80.34,42.69,20.58,19.0,66.65,6.86,60.08,maize
83.74,55.17,16.98,26.26,67.1,6.29,84.3,maize
85.58,47.98,21.35,20.43,65.85,6.02,83.61,maize
70.96,42.9,23.09,24.96,68.05,6.14,81.04,maize
92.13,48.39,25.8,23.38,65.96,6.43,86.67,maize
78.48,51.93,22.39,20.73,58.34,5.86,91.35,maize
68.97,34.04,20.97,28.11,64.97,6.86,86.02,maize
79.01,53.24,19.27,23.1,66.61,6.3,97.4,maize
78.25,42.78,21.34,20.48,65.14,6.55,98.57,maize
84.75,47.34,22.04,25.63,67.79,6.55,68.6,maize
69.35,45.59,18.48,22.08,65.28,6.75,84.12,maize
84.87,47.9,15.06,20.39,64.28,6.1,92.5,maize
95.31,55.12,19.47,25.85,65.74,6.42,77.33,maize
76.98,45.07,20.43,22.86,65.02,6.71,99.88,maize
89.5,38.22,13.62,24.6,58.17,6.47,70.37,maize
61.98,50.88,21.9,21.2,52.04,6.35,89.9,maize
65.21,48.65,19.96,23.8,65.6,6.19,99.96,maize
78.41,47.33,17.67,21.5,60.58,6.49,106.4,maize
66.28,37.42,23.68,22.03,61.65,6.94,77.43,maize
98.26,51.74,18.78,27.35,61.97,6.83,88.74,maize
93.02,57.26,20.08,20.8,67.3,6.3,110.17,maize
81.37,45.22,20.46,19.47,60.14,7.0,76.79,maize
27.15,70.85,82.96,19.04,18.49,6.78,69.34,chickpea
46.26,65.48,79.37,19.5,17.83,7.53,96.24,chickpea
30.17,73.3,80.14,18.7,19.29,7.57,84.04,chickpea
43.04,65.22,77.9,17.72,14.05,8.54,71.73,chickpea
33.34,65.77,80.77,19.11,18.29,6.89,78.75,chickpea
37.12,65.95,84.02,18.87,18.1,7.66,88.8,chickpea
36.36,59.39,81.0,18.01,16.21,7.62,89.29,chickpea
35.16,69.43,84.26,18.68,20.9,7.6,66.79,chickpea
40.65,69.88,83.22,19.0,16.79,6.48,78.43,chickpea
28.62,63.87,81.47,19.75,17.59,6.5,83.33,chickpea
43.97,63.69,79.66,18.51,15.82,7.66,79.09,chickpea
38.15,61.95,78.91,19.04,16.44,8.33,77.0,chickpea
36.69,73.33,76.45,17.18,14.71,8.04,75.86,chickpea
54.19,63.97,80.46,19.66,20.01,8.54,89.06,chickpea
42.68,71.2,81.95,18.09,15.77,7.25,78.72,chickpea
31.6,71.85,82.39,18.57,19.22,6.54,78.55,chickpea
29.62,55.83,79.79,18.41,19.27,7.64,72.32,chickpea
48.91,75.13,81.46,18.33,15.56,7.02,88.17,chickpea
49.13,77.15,78.78,17.66,17.21,6.14,82.42,chickpea
33.89,64.59,76.01,18.89,16.2,6.52,58.46,chickpea
34.79,78.58,84.15,18.16,16.1,7.54,72.51,chickpea
37.26,72.29,83.07,18.42,16.69,6.7,73.8,chickpea
33.3,69.8,82.28,17.9,19.24,7.08,79.84,chickpea
29.4,52.35,82.21,19.05,16.58,7.29,83.87,chickpea
23.28,64.19,81.99,17.56,17.44,6.4,83.5,chickpea
34.73,57.41,82.91,17.95,15.78,7.38,88.61,chickpea
27.38,67.89,81.07,19.02,17.26,7.02,73.79,chickpea
35.65,60.8,72.7,18.83,18.36,5.77,72.43,chickpea
39.64,80.36,80.05,17.95,16.73,8.11,75.16,chickpea
29.01,64.48,77.62,18.59,19.44,7.45,78.11,chickpea
32.81,57.73,82.21,18.44,16.73,9.25,82.24,chickpea
29.36,64.84,82.87,18.58,14.84,7.82,74.99,chickpea
49.05,74.25,78.88,19.46,17.1,7.78,83.64,chickpea
28.65,63.48,82.57,18.25,16.39,6.65,83.18,chickpea
50.47,60.83,80.06,19.56,16.88,7.53,72.03,chickpea
38.21,66.33,82.46,19.39,20.88,7.61,82.44,chickpea
36.46,65.29,80.85,18.28,17.25,8.07,72.45,chickpea
43.55,75.73,79.7,16.91,16.09,8.06,79.83,chickpea
27.51,64.35,82.1,18.91,16.64,7.02,77.06,chickpea
28.08,77.6,79.19,19.41,19.28,7.87,76.76,chickpea
38.03,67.35,77.74,18.74,15.23,7.99,76.52,chickpea
36.51,69.27,79.35,18.94,16.29,7.79,69.91,chickpea
35.95,79.62,77.5,17.99,17.77,7.36,82.63,chickpea
38.67,71.47,82.77,18.81,16.64,7.67,94.25,chickpea
34.01,61.41,82.77,18.41,14.0,7.78,75.99,chickpea
34.32,69.57,80.48,19.03,16.35,7.57,78.05,chickpea
40.54,71.35,77.66,19.31,16.2,7.76,82.75,chickpea
48.79,66.1,79.13,18.49,16.55,7.75,67.88,chickpea
27.1,60.83,82.38,19.78,16.84,7.14,80.53,chickpea
43.71,61.7,80.6,19.23,17.75,7.37,87.51,chickpea
14.73,71.74,78.36,17.13,17.77,8.11,78.97,chickpea
42.15,77.58,83.29,19.73,18.11,7.3,67.99,chickpea
33.15,62.23,85.43,18.37,17.18,7.59,80.33,chickpea
47.71,63.61,80.49,17.94,15.02,6.87,79.72,chickpea
31.78,63.17,76.48,18.44,14.74,7.73,80.62,chickpea
24.07,65.57,78.12,18.74,19.01,6.08,80.86,chickpea
33.8,71.7,80.53,17.94,16.52,6.75,88.07,chickpea
35.16,79.38,79.85,17.97,14.73,6.12,68.12,chickpea
37.0,70.68,76.05,19.17,16.28,7.34,92.09,chickpea
41.73,65.82,77.77,16.89,15.92,7.12,72.6,chickpea
34.02,67.98,79.44,18.01,17.25,7.53,71.82,chickpea
45.58,66.88,80.05,19.03,17.35,7.85,82.15,chickpea
30.41,69.76,77.14,18.58,16.95,7.12,79.04,chickpea
20.89,64.07,80.23,18.62,15.46,8.04,73.5,chickpea
42.27,70.17,78.38,19.83,15.21,7.82,87.5,chickpea
29.97,76.2,79.37,18.72,17.39,7.17,86.08,chickpea
40.95,56.57,83.26,17.25,18.55,7.95,71.82,chickpea
31.92,60.59,79.46,18.27,18.17,8.07,90.47,chickpea
30.78,66.19,75.79,17.9,18.45,8.26,70.74,chickpea
30.56,67.33,80.7,17.89,17.64,6.95,79.89,chickpea
39.1,67.54,78.91,18.42,16.87,7.02,78.06,chickpea
46.99,71.01,79.26,19.02,16.5,7.98,82.77,chickpea
34.2,70.3,76.07,17.65,15.21,7.34,92.99,chickpea
51.73,71.49,81.25,17.15,16.19,6.76,75.34,chickpea
33.74,64.55,75.05,19.06,15.39,7.4,95.56,chickpea
28.1,51.69,79.28,19.33,19.94,6.48,83.73,chickpea
31.51,66.84,86.61,17.37,17.38,7.54,88.14,chickpea
35.73,69.43,79.02,18.7,16.49,7.64,77.23,chickpea
37.83,67.32,82.82,18.46,14.34,8.04,73.21,chickpea
30.1,63.78,83.44,16.9,21.71,7.91,81.67,chickpea
34.59,69.28,81.3,18.98,17.83,7.31,78.52,chickpea
33.87,66.28,82.83,18.95,14.0,7.66,81.46,chickpea
34.86,65.07,82.81,19.21,15.84,7.5,72.71,chickpea
24.65,63.58,82.16,19.21,17.77,7.7,83.87,chickpea
30.19,70.2,82.0,19.07,18.78,7.69,82.64,chickpea
43.03,67.33,77.8,18.38,15.88,6.83,78.92,chickpea
29.06,65.58,75.27,18.66,17.0,6.74,84.94,chickpea
42.03,57.45,78.09,17.92,15.59,7.77,78.55,chickpea
33.02,54.98,81.59,17.57,17.09,7.42,90.2,chickpea
25.18,48.63,80.46,19.85,18.86,7.38,76.31,chickpea
41.05,61.42,81.19,18.88,18.59,8.97,82.94,chickpea
31.18,67.34,75.58,17.98,16.39,6.92,81.14,chickpea
28.83,74.51,80.0,18.49,16.51,7.35,86.19,chickpea
28.5,63.39,79.24,17.49,15.77,6.95,86.56,chickpea
36.97,68.71,82.13,18.4,17.59,7.19,81.99,chickpea
30.63,52.26,79.66,19.57,18.39,7.85,89.27,chickpea
35.66,68.73,78.46,18.26,17.92,8.0,78.95,chickpea
31.62,67.5,81.5,17.42,14.0,6.91,70.84,chickpea
31.19,66.58,78.87,19.59,17.49,7.44,84.67,chickpea
26.46,73.99,79.81,19.0,15.39,6.28,86.13,chickpea
29.85,61.86,17.83,22.03,19.42,5.96,84.74,kidneybeans
31.49,65.45,21.51,18.28,21.22,5.76,82.45,kidneybeans
32.13,64.29,19.43,17.26,17.02,5.73,159.28,kidneybeans
32.4,67.38,19.34,19.55,22.46,5.6,130.07,kidneybeans
31.97,71.99,21.1,19.54,22.68,5.82,97.03,kidneybeans
23.91,68.14,23.87,16.71,18.93,5.77,106.14,kidneybeans
28.58,69.02,19.44,22.85,18.7,5.65,102.68,kidneybeans
17.23,66.4,24.15,19.55,21.9,5.59,91.13,kidneybeans
25.16,65.51,23.2,20.75,19.55,5.78,116.21,kidneybeans
34.63,77.38,17.46,17.68,19.3,5.72,115.49,kidneybeans
33.67,67.03,19.2,19.84,20.04,6.01,68.83,kidneybeans
28.65,80.15,20.02,19.07,20.87,5.73,135.89,kidneybeans
13.68,77.08,16.44,18.9,20.75,5.82,69.04,kidneybeans
30.39,80.15,16.59,19.93,20.34,5.8,105.43,kidneybeans
23.49,70.55,24.51,19.07,22.76,5.59,83.48,kidneybeans
30.45,76.78,20.89,18.8,21.5,5.59,118.6,kidneybeans
33.01,64.67,18.82,20.1,20.74,5.74,152.24,kidneybeans
25.96,65.26,18.38,21.17,21.18,5.67,134.73,kidneybeans
36.37,63.75,15.33,21.77,20.3,5.85,60.67,kidneybeans
33.08,59.93,21.83,19.53,19.83,5.7,120.44,kidneybeans
28.16,71.15,24.94,15.98,24.33,5.76,84.78,kidneybeans
19.19,66.32,22.3,19.21,24.14,5.57,104.73,kidneybeans
19.67,69.77,22.22,18.55,16.94,5.77,114.83,kidneybeans
30.03,75.22,17.32,21.03,23.59,5.53,112.19,kidneybeans
24.35,66.99,20.87,18.4,20.32,5.75,80.54,kidneybeans
20.71,71.75,17.13,21.0,22.31,5.53,89.75,kidneybeans
34.96,61.37,18.84,20.54,22.87,5.72,91.56,kidneybeans
36.39,78.37,22.45,19.69,20.09,5.65,116.76,kidneybeans
30.11,76.26,21.63,16.12,23.34,5.63,96.36,kidneybeans
29.06,79.97,27.77,20.87,21.18,5.82,124.97,kidneybeans
25.5,78.72,20.58,20.62,22.67,5.8,123.88,kidneybeans
23.64,64.01,17.25,20.49,22.86,5.81,142.68,kidneybeans
27.47,71.68,17.27,18.63,22.72,5.86,98.39,kidneybeans
27.05,58.01,19.11,21.5,22.51,5.81,106.12,kidneybeans
27.54,63.37,21.75,20.45,22.36,5.68,56.55,kidneybeans
34.36,64.51,17.84,21.06,20.81,5.88,118.88,kidneybeans
31.77,58.96,23.03,20.09,20.85,5.77,65.03,kidneybeans
30.05,61.07,16.62,16.07,23.45,5.67,139.51,kidneybeans
24.15,56.83,17.21,22.28,21.23,5.68,108.6,kidneybeans
30.64,74.48,23.62,18.69,19.18,5.7,110.86,kidneybeans
21.48,61.52,20.86,19.39,21.56,5.66,99.82,kidneybeans
21.72,73.06,22.59,15.35,19.87,5.56,90.37,kidneybeans
26.98,58.44,17.7,17.24,21.86,5.76,88.76,kidneybeans
28.61,64.08,19.32,23.27,23.85,5.59,123.67,kidneybeans
32.57,60.32,22.05,22.96,19.54,5.64,127.9,kidneybeans
29.2,70.95,20.85,20.38,19.18,5.88,131.32,kidneybeans
26.07,67.23,16.17,20.66,22.5,5.74,130.3,kidneybeans
25.41,71.03,17.45,19.45,21.19,5.78,96.69,kidneybeans
26.68,72.66,18.91,15.89,24.56,5.92,75.92,kidneybeans
31.81,64.36,20.66,20.16,21.09,5.65,89.46,kidneybeans
21.77,62.3,19.83,17.89,22.69,5.94,91.95,kidneybeans
29.0,70.62,21.18,19.67,22.8,5.81,77.15,kidneybeans
32.93,73.05,18.09,19.59,22.7,5.72,129.14,kidneybeans
42.27,62.59,16.55,20.18,22.76,5.72,137.7,kidneybeans
19.13,71.83,18.49,23.37,24.99,5.65,92.63,kidneybeans
32.87,65.08,19.89,19.56,18.14,5.75,89.48,kidneybeans
24.42,76.52,16.86,21.33,21.01,5.72,122.78,kidneybeans
29.63,71.07,22.42,18.75,20.43,5.61,86.43,kidneybeans
45.93,75.28,16.62,16.52,22.34,5.82,117.35,kidneybeans
25.91,66.72,20.82,19.69,17.62,5.72,85.84,kidneybeans
28.6,86.16,20.92,18.79,23.11,5.81,114.45,kidneybeans
31.29,80.35,17.17,20.57,19.88,5.82,84.33,kidneybeans
24.89,65.66,22.44,21.57,19.32,5.76,89.03,kidneybeans
19.63,66.14,19.23,24.96,22.26,5.58,92.29,kidneybeans
33.88,80.55,16.04,15.27,24.77,5.8,85.46,kidneybeans
30.84,51.03,20.01,20.24,23.12,5.62,106.93,kidneybeans
21.72,69.1,17.76,18.58,19.76,5.83,124.32,kidneybeans
26.03,67.74,16.38,18.83,21.41,6.08,79.98,kidneybeans
36.65,73.73,20.7,23.46,22.15,5.8,103.8,kidneybeans
35.15,74.35,18.44,16.53,21.14,5.65,103.57,kidneybeans
35.23,64.64,19.89,19.63,22.98,5.47,91.35,kidneybeans
28.82,75.0,18.77,15.28,22.58,5.67,78.23,kidneybeans
23.6,66.35,18.49,14.54,23.07,5.91,119.66,kidneybeans
20.39,66.24,19.98,20.85,22.67,5.66,106.84,kidneybeans
30.36,76.6,21.76,21.28,21.65,5.93,114.22,kidneybeans
22.12,76.27,21.74,18.5,20.66,5.79,115.42,kidneybeans
28.73,69.45,24.25,21.91,21.83,5.87,81.77,kidneybeans
29.99,78.81,19.45,17.59,20.36,5.61,87.34,kidneybeans
25.18,58.72,20.04,21.53,19.91,5.94,116.49,kidneybeans
33.94,63.39,22.14,17.04,23.06,5.77,117.45,kidneybeans
20.15,61.91,21.49,17.37,22.31,5.58,124.08,kidneybeans
19.8,70.95,21.56,17.93,22.52,5.78,92.88,kidneybeans
21.2,55.23,20.87,15.98,21.67,5.72,120.28,kidneybeans
25.61,65.44,21.83,20.25,22.05,5.81,70.45,kidneybeans
32.23,71.33,17.46,18.95,21.43,5.73,112.51,kidneybeans
36.45,74.26,16.72,20.9,23.83,5.8,129.55,kidneybeans
40.08,73.9,20.62,21.85,21.75,5.75,97.09,kidneybeans
37.27,62.38,23.83,20.62,19.05,5.8,57.75,kidneybeans
31.41,73.03,18.52,19.78,24.92,5.69,81.17,kidneybeans
36.76,79.77,20.01,21.78,23.85,5.66,94.08,kidneybeans
35.19,78.03,21.41,17.52,24.98,5.68,97.46,kidneybeans
29.64,77.21,22.13,20.43,22.31,5.76,117.56,kidneybeans
11.69,65.65,20.6,16.91,22.18,5.72,144.5,kidneybeans
37.33,64.59,19.62,19.33,20.71,5.77,87.94,kidneybeans
20.43,71.39,21.57,17.69,23.07,5.67,110.7,kidneybeans
32.63,67.29,21.14,18.34,21.16,5.72,88.2,kidneybeans
26.4,57.82,18.77,18.86,21.05,5.72,103.61,kidneybeans
30.5,72.97,18.38,16.79,19.68,5.69,97.08,kidneybeans
22.69,59.4,18.86,19.91,22.54,5.68,95.71,kidneybeans
21.71,67.3,17.88,20.79,18.37,5.71,111.77,kidneybeans
28.65,78.47,20.87,29.74,51.9,5.14,133.19,pigeonpeas
22.29,69.58,18.63,32.18,48.53,7.34,127.77,pigeonpeas
38.95,69.07,21.21,33.51,54.96,5.05,128.73,pigeonpeas
32.78,64.76,16.49,32.36,63.15,7.03,133.6,pigeonpeas
33.45,63.17,15.74,29.96,62.27,6.08,129.52,pigeonpeas
25.63,74.52,24.06,38.6,51.51,6.43,100.88,pigeonpeas
36.73,59.16,20.54,29.48,48.82,5.73,121.32,pigeonpeas
24.13,62.26,22.08,29.46,53.88,7.01,123.45,pigeonpeas
23.01,63.85,22.95,33.03,49.18,6.55,110.2,pigeonpeas
31.76,67.04,19.23,30.19,46.96,6.58,162.65,pigeonpeas
23.52,67.29,14.78,30.89,52.31,5.68,113.93,pigeonpeas
23.33,66.46,19.53,26.34,39.25,5.87,145.3,pigeonpeas
10.33,62.5,18.68,36.32,50.09,6.49,138.18,pigeonpeas
14.18,68.84,20.54,33.9,77.04,4.95,173.81,pigeonpeas
25.7,66.44,19.89,31.33,48.94,6.46,100.86,pigeonpeas
32.19,62.92,17.17,31.26,60.36,5.92,143.07,pigeonpeas
22.93,68.79,21.71,37.58,51.4,6.67,137.21,pigeonpeas
35.6,61.41,21.86,31.96,52.1,6.31,140.68,pigeonpeas
26.77,66.07,23.95,35.21,57.93,5.97,114.99,pigeonpeas
33.47,69.38,23.68,30.84,51.07,5.23,126.17,pigeonpeas
33.73,62.67,21.6,31.98,54.53,5.53,136.92,pigeonpeas
8.81,64.07,15.92,35.82,57.36,6.54,169.22,pigeonpeas
21.57,73.74,22.33,31.85,59.6,5.56,116.45,pigeonpeas
23.7,62.36,17.36,35.86,50.88,6.47,122.17,pigeonpeas
16.12,66.35,15.22,32.31,43.95,7.49,155.51,pigeonpeas
28.16,71.32,17.88,33.99,53.75,6.42,163.63,pigeonpeas
